rows,nbuf,batch,pool,reps,micros,had_gbs,copy_gbs,ratio,status
16,4,1024,512,2000,4.9,215.6,207.8,1.0375,launch-bound(5us)
16,4,2048,256,2000,4.7,443.6,416.9,1.0642,launch-bound(5us)
16,4,4096,128,2000,4.8,873.2,834.5,1.0466,launch-bound(5us)
16,4,8192,64,1024,4.9,1719.8,1676.0,1.0256,launch-bound(5us)
16,4,16384,32,512,8.2,2047.1,2350.0,0.8710,launch-bound(8us)
16,4,32768,16,256,14.9,2258.6,2822.6,0.8000,launch-bound(15us)
16,4,65536,8,128,27.8,2412.1,3028.9,0.7988,ok
16,4,131072,4,64,53.2,2525.3,3125.7,0.8080,ok
16,4,262144,2,32,102.0,2632.0,3167.3,0.8300,ok
32,4,1024,512,2000,4.8,220.2,207.8,1.0591,launch-bound(5us)
32,4,2048,256,2000,4.7,449.8,416.9,1.0796,launch-bound(5us)
32,4,4096,128,2000,4.8,877.5,834.5,1.0516,launch-bound(5us)
32,4,8192,64,1024,5.2,1605.6,1676.0,0.9582,launch-bound(5us)
32,4,16384,32,512,7.9,2130.1,2350.0,0.9068,launch-bound(8us)
32,4,32768,16,256,13.3,2531.3,2822.6,0.8977,launch-bound(13us)
32,4,65536,8,128,23.9,2805.8,3028.9,0.9276,ok
32,4,131072,4,64,44.3,3029.8,3125.7,0.9693,ok
32,4,262144,2,32,82.3,3259.9,3167.3,1.0305,ratio-over-one(1.030)
64,4,1024,512,2000,4.7,224.3,207.8,1.0794,launch-bound(5us)
64,4,2048,256,2000,4.7,441.9,416.9,1.0605,launch-bound(5us)
64,4,4096,128,2000,4.8,866.7,834.5,1.0400,launch-bound(5us)
64,4,8192,64,1024,5.6,1509.5,1676.0,0.9007,launch-bound(6us)
64,4,16384,32,512,8.2,2040.1,2350.0,0.8682,launch-bound(8us)
64,4,32768,16,256,13.7,2454.5,2822.6,0.8688,launch-bound(14us)
64,4,65536,8,128,24.4,2746.3,3028.9,0.9057,ok
64,4,131072,4,64,46.7,2876.4,3125.7,0.9204,ok
64,4,262144,2,32,87.6,3064.2,3167.3,0.9674,ok
128,4,1024,512,2000,4.7,223.7,207.8,1.0769,launch-bound(5us)
128,4,2048,256,2000,4.7,442.7,416.9,1.0619,launch-bound(5us)
128,4,4096,128,2000,5.3,794.4,834.5,0.9518,launch-bound(5us)
128,4,8192,64,1024,6.3,1334.2,1676.0,0.7947,launch-bound(6us)
128,4,16384,32,512,10.1,1669.1,2350.0,0.7096,launch-bound(10us)
128,4,32768,16,256,15.3,2191.8,2822.6,0.7779,launch-bound(15us)
128,4,65536,8,128,25.5,2630.9,3028.9,0.8686,ok
128,4,131072,4,64,44.9,2986.9,3125.7,0.9553,ok
128,4,262144,2,32,82.0,3272.9,3167.3,1.0372,ratio-over-one(1.037)
