n,tile_kib,rows,nbuf,batch,micros,had_gbs,copy_gbs,ratio,status
32,8,128,4,524288,27.2,2469.5,3011.7,0.8200,ok
32,16,256,4,524288,23.4,2862.2,3011.7,0.9504,ok
32,32,512,4,524288,24.1,2787.8,3011.7,0.9257,ok
32,64,1024,4,524288,24.7,2722.3,3011.7,0.9039,ok
64,8,64,4,262144,27.2,2465.6,3019.2,0.8166,ok
64,16,128,4,262144,23.6,2848.4,3019.2,0.9434,ok
64,32,256,4,262144,24.0,2793.1,3019.2,0.9251,ok
64,64,512,4,262144,24.8,2704.7,3019.2,0.8958,ok
128,8,32,4,131072,27.5,2440.9,3008.0,0.8115,ok
128,16,64,4,131072,23.5,2857.5,3008.0,0.9500,ok
128,32,128,4,131072,24.2,2778.7,3008.0,0.9238,ok
128,64,256,4,131072,24.8,2702.4,3008.0,0.8984,ok
256,8,16,4,65536,27.9,2407.8,3021.7,0.7968,ok
256,16,32,4,65536,23.7,2830.2,3021.7,0.9366,ok
256,32,64,4,65536,24.3,2759.4,3021.7,0.9132,ok
256,64,128,4,65536,25.4,2642.2,3021.7,0.8744,ok
512,8,8,4,32768,28.4,2361.5,3009.7,0.7846,ok
512,16,16,4,32768,24.2,2770.1,3009.7,0.9204,ok
512,32,32,4,32768,24.8,2709.1,3009.7,0.9001,ok
512,64,64,4,32768,26.3,2554.5,3009.7,0.8488,ok
1024,8,4,4,16384,29.1,2305.9,3021.8,0.7631,ok
1024,16,8,4,16384,24.4,2745.3,3021.8,0.9085,ok
1024,32,16,4,16384,25.0,2686.6,3021.8,0.8891,ok
1024,64,32,4,16384,27.0,2484.1,3021.8,0.8221,ok
2048,8,2,4,8192,29.8,2255.1,3009.9,0.7492,ok
2048,16,4,4,8192,25.5,2636.3,3009.9,0.8759,ok
2048,32,8,4,8192,25.7,2612.7,3009.9,0.8680,ok
2048,64,16,4,8192,27.9,2406.0,3009.9,0.7994,ok
