distribution,k,identity_err,block32_err,fullrow_err,block_over_full,seed_lo,seed_hi
gaussian,256,0.115,0.1148,0.1146,1.002,0.995,1.015
gaussian,1024,0.115,0.1151,0.115,1.0,0.996,1.003
gaussian,4096,0.115,0.115,0.115,1.0,0.997,1.001
heavy tail (t3),256,0.1409,0.1135,0.116,0.979,0.975,0.982
heavy tail (t3),1024,0.1422,0.1148,0.1168,0.983,0.96,1.085
heavy tail (t3),4096,0.1412,0.1126,0.1171,0.961,0.913,0.974
outlier channels,256,0.1595,0.1115,0.108,1.032,0.998,1.057
outlier channels,1024,0.1551,0.1094,0.112,0.977,0.956,1.003
outlier channels,4096,0.1569,0.1088,0.114,0.954,0.93,0.963
one spike per row,256,0.1425,0.1133,0.1067,1.062,0.992,1.147
one spike per row,1024,0.1349,0.1133,0.1072,1.057,1.014,1.131
one spike per row,4096,0.1317,0.1125,0.1097,1.026,0.977,1.089
