m,m_run,kn,bf16_us,vendor_us,ours_us,ours_vs_bf16,vendor_vs_bf16,ours_vs_vendor,bf16_tfs,vendor_tfs,ours_tfs,padded,reps,spread_pct,copy_gbs
1,16,512,27.51,38.845,20.5,1.342,0.708,1.895,0,0,0,1,100,175.0,1431
2,16,512,29.535,41.725,21.66,1.364,0.708,1.926,0,0,0,1,100,66.1,1431
4,16,512,29.13,40.235,21.51,1.354,0.724,1.871,0,0,0,1,100,212.0,1431
8,16,512,28.1,40.02,20.845,1.348,0.702,1.92,0,0,0,1,100,65.5,1431
16,16,512,28.39,39.86,20.59,1.379,0.712,1.936,0,0,0,0,100,101.7,1431
32,128,512,27.78,40.655,21.765,1.276,0.683,1.868,1,0,1,1,100,56.7,1431
64,128,512,29.195,40.705,21.935,1.331,0.717,1.856,1,1,2,1,100,12358.8,1431
128,128,512,28.12,38.965,21.275,1.322,0.722,1.831,2,2,3,0,100,34.7,1431
256,256,512,27.49,38.835,20.975,1.311,0.708,1.851,5,3,6,0,100,59.3,1431
512,512,512,28.725,40.03,21.28,1.35,0.718,1.881,9,7,13,0,100,110.4,1431
1024,1024,512,29.545,40.32,21.795,1.356,0.733,1.85,18,13,25,0,100,41.6,1431
2048,2048,512,30.505,40.9,22.0,1.387,0.746,1.859,35,26,49,0,100,47.4,1431
4096,4096,512,35.45,42.56,24.61,1.44,0.833,1.729,61,50,87,0,100,25.6,1431
8192,8192,512,42.48,45.38,27.535,1.543,0.936,1.648,101,95,156,0,100,27.4,1431
16384,16384,512,55.79,52.36,33.805,1.65,1.066,1.549,154,164,254,0,100,32.1,1431
32768,32768,512,81.885,62.605,45.425,1.803,1.308,1.378,210,274,378,0,100,26.4,1431
1,16,1024,27.76,38.505,20.705,1.341,0.721,1.86,0,0,0,1,100,39.7,1431
2,16,1024,27.77,38.88,21.12,1.315,0.714,1.841,0,0,0,1,100,50.5,1431
4,16,1024,23.17,33.095,19.515,1.187,0.7,1.696,0,0,0,1,100,41.3,1431
8,16,1024,23.36,33.125,19.4,1.204,0.705,1.707,1,1,1,1,100,55.2,1431
16,16,1024,23.745,33.145,19.5,1.218,0.716,1.7,1,1,2,0,100,43.6,1431
32,128,1024,23.9,33.535,20.95,1.141,0.713,1.601,3,2,3,1,100,37.4,1431
64,128,1024,28.895,39.92,22.235,1.3,0.724,1.795,5,3,6,1,100,2070.5,1431
128,128,1024,29.56,40.065,22.335,1.323,0.738,1.794,9,7,12,0,100,37.4,1431
256,256,1024,30.2,40.305,22.1,1.367,0.749,1.824,18,13,24,0,100,34.2,1431
512,512,1024,31.28,41.185,22.645,1.381,0.759,1.819,34,26,47,0,100,37.5,1431
1024,1024,1024,34.49,42.2,23.1,1.493,0.817,1.827,62,51,93,0,100,18973.2,1431
2048,2048,1024,35.515,39.35,24.485,1.45,0.903,1.607,121,109,175,0,100,30.9,1431
4096,4096,1024,45.605,42.035,29.09,1.568,1.085,1.445,188,204,295,0,100,26.3,1431
8192,8192,1024,66.02,48.215,37.485,1.761,1.369,1.286,260,356,458,0,100,20.3,1431
16384,16384,1024,107.835,61.455,53.65,2.01,1.755,1.145,319,559,640,0,100,45.4,1431
32768,32768,1024,190.82,89.1,84.125,2.268,2.142,1.059,360,771,817,0,100,29.7,1431
1,16,2048,33.1,37.855,22.53,1.469,0.874,1.68,0,0,0,1,100,19232.5,1431
2,16,2048,35.17,40.42,23.365,1.505,0.87,1.73,0,0,1,1,100,35.6,1431
4,16,2048,35.655,40.56,23.275,1.532,0.879,1.743,1,1,1,1,100,38.2,1431
8,16,2048,35.8,40.24,23.235,1.541,0.89,1.732,2,2,3,1,100,37.4,1431
16,16,2048,35.92,41.18,23.935,1.501,0.872,1.72,4,3,6,0,100,57.7,1431
32,128,2048,36.155,40.8,24.83,1.456,0.886,1.643,7,7,11,1,100,39.7,1431
64,128,2048,37.825,41.74,25.175,1.502,0.906,1.658,14,13,21,1,100,28.1,1431
128,128,2048,39.72,43.265,25.56,1.554,0.918,1.693,27,25,42,0,100,133.0,1431
