m,m_run,kn,bf16_us,vendor_us,ours_us,ours_vs_bf16,vendor_vs_bf16,ours_vs_vendor,bf16_tfs,vendor_tfs,ours_tfs,padded,reps,spread_pct,copy_gbs
1,16,512,25.15,40.165,22.495,1.118,0.626,1.786,0,0,0,1,100,257.9,1424
2,16,512,24.24,37.48,21.96,1.104,0.647,1.707,0,0,0,1,100,46.2,1424
4,16,512,24.83,37.65,22.18,1.119,0.659,1.697,0,0,0,1,100,91.7,1424
8,16,512,24.715,37.405,21.98,1.124,0.661,1.702,0,0,0,1,100,61.9,1424
16,16,512,25.165,37.045,21.765,1.156,0.679,1.702,0,0,0,0,100,69.9,1424
32,128,512,24.395,38.14,22.105,1.104,0.64,1.725,1,0,1,1,100,183.8,1424
64,128,512,25.375,38.905,22.44,1.131,0.652,1.734,1,1,1,1,100,63.8,1424
128,128,512,24.795,36.445,21.745,1.14,0.68,1.676,3,2,3,0,100,31.8,1424
256,256,512,25.7,36.725,21.835,1.177,0.7,1.682,5,4,6,0,100,48.7,1424
512,512,512,25.925,37.515,22.3,1.163,0.691,1.682,10,7,12,0,100,77.8,1424
1024,1024,512,26.86,37.38,22.045,1.218,0.719,1.696,20,14,24,0,100,40.8,1424
2048,2048,512,29.68,38.335,21.84,1.359,0.774,1.755,36,28,49,0,100,60.2,1424
4096,4096,512,33.415,40.045,23.91,1.398,0.834,1.675,64,54,90,0,100,320.8,1424
8192,8192,512,40.845,43.04,27.485,1.486,0.949,1.566,105,100,156,0,100,25.3,1424
16384,16384,512,54.01,48.965,34.285,1.575,1.103,1.428,159,175,251,0,100,32.8,1424
32768,32768,512,78.8,60.29,45.285,1.74,1.307,1.331,218,285,379,0,100,22.3,1424
1,16,1024,26.125,36.5,21.88,1.194,0.716,1.668,0,0,0,1,100,34.6,1424
2,16,1024,26.25,36.445,22.265,1.179,0.72,1.637,0,0,0,1,100,42.8,1424
4,16,1024,26.645,37.14,21.935,1.215,0.717,1.693,0,0,0,1,100,27.8,1424
8,16,1024,26.32,36.43,21.725,1.212,0.722,1.677,1,0,1,1,100,41.2,1424
16,16,1024,26.355,36.565,21.84,1.207,0.721,1.674,1,1,2,0,100,56.5,1424
32,128,1024,26.565,37.13,22.185,1.197,0.715,1.674,3,2,3,1,100,27.9,1424
64,128,1024,26.27,36.985,22.305,1.178,0.71,1.658,5,4,6,1,100,52.6,1424
128,128,1024,27.425,37.095,21.94,1.25,0.739,1.691,10,7,12,0,100,154.4,1424
256,256,1024,29.025,37.93,22.485,1.291,0.765,1.687,18,14,24,0,100,43.9,1424
512,512,1024,29.945,38.39,22.555,1.328,0.78,1.702,36,28,48,0,100,30.4,1424
1024,1024,1024,32.965,40.76,23.155,1.424,0.809,1.76,65,53,93,0,100,38.5,1424
2048,2048,1024,37.825,42.29,26.175,1.445,0.894,1.616,114,102,164,0,100,31.9,1424
4096,4096,1024,48.28,44.545,31.125,1.551,1.084,1.431,178,193,276,0,100,25.5,1424
8192,8192,1024,68.445,50.5,38.825,1.763,1.355,1.301,251,340,442,0,100,27.1,1424
16384,16384,1024,109.77,63.38,55.575,1.975,1.732,1.14,313,542,618,0,100,21.6,1424
32768,32768,1024,192.37,91.415,85.65,2.246,2.104,1.067,357,752,802,0,100,61.2,1424
1,16,2048,33.075,37.95,22.595,1.464,0.872,1.68,0,0,0,1,100,33.0,1424
2,16,2048,32.51,37.14,22.295,1.458,0.875,1.666,1,0,1,1,100,53.6,1424
4,16,2048,32.57,36.995,22.79,1.429,0.88,1.623,1,1,1,1,100,26.3,1424
8,16,2048,32.36,36.965,22.545,1.435,0.875,1.64,2,2,3,1,100,27.5,1424
16,16,2048,32.52,37.13,22.215,1.464,0.876,1.671,4,4,6,0,100,36.2,1424
32,128,2048,32.96,37.1,23.8,1.385,0.888,1.559,8,7,11,1,100,32.2,1424
64,128,2048,38.69,42.68,25.555,1.514,0.907,1.67,14,13,21,1,100,384.3,1424
128,128,2048,40.445,45.08,25.31,1.598,0.897,1.781,27,24,42,0,100,18.3,1424
256,256,2048,41.265,45.835,25.85,1.596,0.9,1.773,52,47,83,0,100,32.6,1424
512,512,2048,43.785,46.335,26.325,1.663,0.945,1.76,98,93,163,0,100,31.1,1424
1024,1024,2048,50.64,48.61,29.9,1.694,1.042,1.626,170,177,287,0,100,17.8,1424
2048,2048,2048,71.23,54.605,36.73,1.939,1.304,1.487,241,315,468,0,100,21.9,1424
4096,4096,2048,112.09,63.595,48.935,2.291,1.763,1.3,307,540,702,0,100,19.7,1424
8192,8192,2048,193.185,84.515,74.88,2.58,2.286,1.129,356,813,918,0,100,13.1,1424
16384,16384,2048,353.275,127.345,125.7,2.81,2.774,1.013,389,1079,1093,0,100,7.8,1424
32768,32768,2048,673.35,211.145,222.605,3.025,3.189,0.949,408,1302,1235,0,100,8.4,1424
1,16,3072,45.935,44.82,28.405,1.617,1.025,1.578,0,0,1,1,100,50.6,1424
2,16,3072,45.825,44.25,27.91,1.642,1.036,1.585,1,1,1,1,100,30.4,1424
4,16,3072,45.72,44.255,27.905,1.638,1.033,1.586,2,2,3,1,100,24.9,1424
8,16,3072,45.59,44.61,28.035,1.626,1.022,1.591,3,3,5,1,100,21.6,1424
16,16,3072,45.62,43.955,27.59,1.653,1.038,1.593,7,7,11,0,100,22.2,1424
32,128,3072,46.08,45.2,29.565,1.559,1.019,1.529,13,13,20,1,100,39.8,1424
64,128,3072,47.8,44.57,29.415,1.625,1.072,1.515,25,27,41,1,100,22.2,1424
128,128,3072,51.695,46.765,30.025,1.722,1.105,1.558,47,52,80,0,100,20.4,1424
256,256,3072,55.21,49.78,29.94,1.844,1.109,1.663,88,97,161,0,100,27.9,1424
512,512,3072,62.385,51.69,35.05,1.78,1.207,1.475,155,187,276,0,100,21.5,1424
1024,1024,3072,78.37,56.2,41.53,1.887,1.394,1.353,247,344,465,0,100,15.3,1424
2048,2048,3072,122.265,67.775,52.03,2.35,1.804,1.303,316,570,743,0,100,16.7,1424
4096,4096,3072,211.875,89.7,78.455,2.701,2.362,1.143,365,862,985,0,100,26.7,1424
8192,8192,3072,393.29,137.1,133.065,2.956,2.869,1.03,393,1128,1162,0,100,14.1,1424
16384,16384,3072,752.87,229.245,237.98,3.164,3.284,0.963,411,1349,1299,0,100,23.4,1424
32768,32768,3072,1468.1,407.11,442.235,3.32,3.606,0.921,421,1519,1399,0,100,3.0,1424
