pair,k,batch,contender,micros,p_lo,p_hi,spread_pct,gbs,packed_match,scale_match,speedup,speedup_lo,speedup_hi,resolved,brackets_n,status
raw,4096,4096,ours_raw,14.032,11.514,14.4,20.6,3026.4,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,4096,tquant,14.147,12.383,18.891,46.0,3001.8,1.0,1.0,1.0166,1.0097,1.04,1,64,ok
raw,4096,8192,ours_raw,27.421,25.323,27.681,8.6,3097.4,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,8192,tquant,27.399,25.78,29.334,13.0,3099.9,1.0,1.0,0.9963,0.9941,0.9992,1,64,ok
raw,4096,16384,ours_raw,52.797,50.641,56.469,11.0,3217.4,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,16384,tquant,53.326,52.073,64.227,22.8,3185.5,1.0,1.0,1.0324,1.014,1.0473,1,64,ok
raw,4096,32768,ours_raw,112.674,106.682,123.409,14.8,3015.2,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,32768,tquant,127.8,104.559,144.923,31.6,2658.4,1.0,1.0,1.1327,1.0433,1.1413,1,64,ok
raw,4096,65536,ours_raw,226.067,207.952,253.382,20.1,3005.6,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,65536,tquant,259.061,210.14,286.112,29.3,2622.9,1.0,1.0,1.1114,1.0973,1.1251,1,64,ok
raw,4096,131072,ours_raw,473.926,408.035,500.503,19.5,2867.4,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,131072,tquant,518.174,410.082,540.885,25.2,2622.6,1.0,1.0,1.0986,1.0907,1.1054,1,64,ok
api,4096,4096,ours,15.52,14.802,16.287,9.6,2736.3,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,4096,torch_npu,14.123,13.607,22.31,61.6,3007.0,1.0,1.0,0.928,0.8845,0.9443,1,64,ok
api,4096,8192,ours,26.769,25.506,28.048,9.5,3172.9,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,8192,torch_npu,27.025,25.231,27.774,9.4,3142.8,1.0,1.0,0.9835,0.9755,1.0174,0,64,ok
api,4096,16384,ours,53.801,51.246,61.872,19.8,3157.4,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,16384,torch_npu,54.2,52.598,60.956,15.4,3134.1,1.0,1.0,1.0089,0.9901,1.0127,0,64,ok
api,4096,32768,ours,120.065,104.425,139.168,28.9,2829.6,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,32768,torch_npu,117.559,107.166,136.534,25.0,2889.9,1.0,1.0,0.9816,0.9658,0.9895,1,64,ok
api,4096,65536,ours,234.138,208.702,268.436,25.5,2902.0,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,65536,torch_npu,242.155,210.241,282.926,30.0,2806.0,1.0,1.0,1.0139,1.0028,1.0342,1,64,ok
api,4096,131072,ours,474.85,407.584,488.186,17.0,2861.9,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,131072,torch_npu,503.417,412.166,523.649,22.1,2699.5,1.0,1.0,1.0626,1.0515,1.0716,1,64,ok
