k,batch,contender,allocates,bytes_per_elem,pool,footprint_mib,micros,p_lo,p_hi,spread_pct,gbs,status
4096,1,ours,0,2.53125,64,0.5,8.59,8.44,8.88,5.6,1.2,ok
4096,1,ours,1,2.53125,64,0.5,14.19,14.02,14.51,3.5,0.7,ok
4096,1,torch_npu,1,2.53125,64,0.5,14.93,14.65,15.27,3.4,0.7,ok
4096,1,d2d_copy,0,4.0,64,0.5,7.97,7.66,8.68,9.1,2.1,ok
4096,7,ours,0,2.53125,64,3.5,8.63,8.49,9.0,5.9,8.4,ok
4096,7,ours,1,2.53125,64,3.5,14.14,13.99,14.43,3.1,5.1,ok
4096,7,torch_npu,1,2.53125,64,3.5,14.97,14.33,15.14,3.8,4.8,ok
4096,7,d2d_copy,0,4.0,64,3.5,8.08,7.81,8.57,9.0,14.2,ok
4096,33,ours,0,2.53125,64,16.5,8.58,8.48,9.02,6.3,39.9,ok
4096,33,ours,1,2.53125,64,16.5,14.32,14.09,14.64,3.9,23.9,ok
4096,33,torch_npu,1,2.53125,64,16.5,14.93,14.48,15.15,4.7,22.9,ok
4096,33,d2d_copy,0,4.0,64,16.5,8.22,7.99,8.65,8.0,65.8,ok
4096,64,ours,0,2.53125,64,32.0,8.62,8.44,8.91,5.7,77.0,ok
4096,64,ours,1,2.53125,64,32.0,14.24,14.05,14.53,2.9,46.6,ok
4096,64,torch_npu,1,2.53125,64,32.0,15.14,14.86,15.62,3.1,43.8,ok
4096,64,d2d_copy,0,4.0,64,32.0,5.51,5.41,5.61,2.6,190.4,ok
4096,256,ours,0,2.53125,64,128.0,8.58,8.47,8.87,5.6,309.2,ok
4096,256,ours,1,2.53125,64,128.0,14.22,14.06,14.55,3.4,186.7,ok
4096,256,torch_npu,1,2.53125,64,128.0,14.61,14.33,14.99,3.5,181.7,ok
4096,256,d2d_copy,0,4.0,64,128.0,5.5,5.44,5.59,2.8,761.9,ok
4096,1024,ours,0,2.53125,64,512.0,8.65,8.49,8.91,4.8,1228.0,ok
4096,1024,ours,1,2.53125,64,512.0,14.31,14.2,14.59,2.7,742.1,ok
4096,1024,torch_npu,1,2.53125,64,512.0,15.12,14.97,15.38,2.8,702.3,ok
4096,1024,d2d_copy,0,4.0,64,512.0,7.33,5.77,7.97,30.1,2287.7,ok
4096,4096,ours,0,2.53125,32,1024.0,14.12,11.7,14.22,17.8,3006.8,ok
4096,4096,ours,1,2.53125,32,1024.0,14.38,14.27,14.64,2.4,2953.1,ok
4096,4096,torch_npu,1,2.53125,32,1024.0,15.14,14.89,15.67,4.5,2804.8,ok
4096,4096,d2d_copy,0,4.0,32,1024.0,15.39,13.88,15.44,10.7,4361.2,ok
4096,16384,ours,0,2.53125,8,1024.0,50.17,49.83,50.46,1.2,3385.9,ok
4096,16384,ours,1,2.53125,8,1024.0,51.11,50.92,53.41,4.6,3323.7,ok
4096,16384,torch_npu,1,2.53125,8,1024.0,55.81,53.82,56.41,4.7,3043.5,ok
4096,16384,d2d_copy,0,4.0,8,1024.0,84.95,84.48,85.44,1.1,3160.0,ok
4096,65536,ours,0,2.53125,2,1024.0,210.34,208.93,210.73,0.9,3230.3,ok
4096,65536,ours,1,2.53125,2,1024.0,231.55,210.83,259.85,21.2,2934.4,ok
4096,65536,torch_npu,1,2.53125,2,1024.0,260.46,230.42,286.65,21.7,2608.8,ok
4096,65536,d2d_copy,0,4.0,2,1024.0,327.81,327.17,330.98,1.2,3275.5,ok
4096,262144,ours,0,2.53125,2,4096.0,944.86,810.65,951.69,14.9,2876.5,ok
4096,262144,ours,1,2.53125,2,4096.0,947.31,936.85,952.78,1.7,2869.1,ok
4096,262144,torch_npu,1,2.53125,2,4096.0,1037.07,990.13,1066.54,7.4,2620.8,ok
4096,262144,d2d_copy,0,4.0,2,4096.0,1296.78,1295.74,1298.99,0.3,3312.0,ok
