k,batch,contender,allocates,bytes_per_elem,pool,footprint_mib,micros,p_lo,p_hi,spread_pct,gbs,status,sweeps
64,1048576,ours,0,2.53125,8,1024.0,50.69,49.9,51.22,2.3,3350.9,ok,5
64,1048576,ours,1,2.53125,8,1024.0,51.64,51.07,54.03,5.0,3289.7,ok,5
64,1048576,torch_npu,1,2.53125,8,1024.0,66.84,64.06,67.51,3.9,2541.3,ok,5
64,1048576,d2d_copy,0,4.0,8,1024.0,85.19,84.61,85.86,1.5,3150.9,ok,5
128,524288,ours,0,2.53125,8,1024.0,50.61,49.9,50.86,2.0,3356.4,ok,5
128,524288,ours,1,2.53125,8,1024.0,51.53,51.14,51.97,1.5,3296.3,ok,5
128,524288,torch_npu,1,2.53125,8,1024.0,56.3,54.16,56.54,4.7,3017.1,ok,5
128,524288,d2d_copy,0,4.0,8,1024.0,85.19,84.94,86.31,1.5,3150.9,ok,5
256,262144,ours,0,2.53125,8,1024.0,50.69,50.0,51.18,2.3,3351.2,ok,5
256,262144,ours,1,2.53125,8,1024.0,51.57,51.08,53.69,5.2,3293.9,ok,5
256,262144,torch_npu,1,2.53125,8,1024.0,54.57,53.26,59.38,10.5,3112.6,ok,5
256,262144,d2d_copy,0,4.0,8,1024.0,86.19,84.72,87.81,3.8,3114.4,ok,5
512,131072,ours,0,2.53125,8,1024.0,50.68,49.87,50.92,2.0,3351.8,ok,5
512,131072,ours,1,2.53125,8,1024.0,51.47,51.17,52.0,1.3,3300.5,ok,5
512,131072,torch_npu,1,2.53125,8,1024.0,61.85,60.22,63.98,5.9,2746.5,ok,5
512,131072,d2d_copy,0,4.0,8,1024.0,85.95,84.91,87.05,2.6,3123.1,ok,5
1024,65536,ours,0,2.53125,8,1024.0,50.68,49.92,50.85,1.7,3351.8,ok,5
1024,65536,ours,1,2.53125,8,1024.0,51.6,51.08,52.28,2.3,3291.9,ok,5
1024,65536,torch_npu,1,2.53125,8,1024.0,56.02,54.25,66.13,19.3,3032.1,ok,5
1024,65536,d2d_copy,0,4.0,8,1024.0,85.38,84.78,88.84,4.7,3143.9,ok,5
2048,32768,ours,0,2.53125,8,1024.0,50.77,49.94,50.95,2.1,3346.0,ok,5
2048,32768,ours,1,2.53125,8,1024.0,51.64,51.28,53.84,5.0,3289.3,ok,5
2048,32768,torch_npu,1,2.53125,8,1024.0,55.52,54.05,66.98,23.0,3059.8,ok,5
2048,32768,d2d_copy,0,4.0,8,1024.0,86.87,85.07,90.34,6.1,3090.1,ok,5
