pair,k,batch,contender,micros,p_lo,p_hi,spread_pct,gbs,packed_match,scale_match,speedup,speedup_lo,speedup_hi,resolved,brackets_n,status
raw,64,65536,ours_raw,5.099,5.02,11.904,135.0,2082.2,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,64,65536,tquant,5.431,5.333,5.754,7.8,1954.9,1.0,1.0,1.0644,1.0593,1.0699,1,64,ok
raw,128,65536,ours_raw,8.742,8.358,9.601,14.2,2428.9,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,128,65536,tquant,8.759,8.403,14.1,65.0,2424.2,1.0,1.0,1.0006,0.9946,1.0052,0,64,ok
raw,256,65536,ours_raw,13.829,11.546,14.291,19.8,3070.9,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,256,65536,tquant,13.865,12.937,14.621,12.2,3062.9,1.0,1.0,1.007,0.9971,1.0231,0,64,ok
raw,512,65536,ours_raw,27.006,25.286,27.426,7.9,3145.1,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,512,65536,tquant,26.949,25.85,28.382,9.4,3151.7,1.0,1.0,0.9967,0.9919,1.003,0,64,ok
raw,1024,65536,ours_raw,52.956,50.549,58.207,14.5,3207.8,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,1024,65536,tquant,53.006,50.954,71.13,38.1,3204.7,1.0,1.0,1.0055,1.0001,1.0233,1,64,ok
raw,2048,65536,ours_raw,110.336,104.762,118.305,12.3,3079.1,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,2048,65536,tquant,123.543,105.036,143.903,31.5,2750.0,1.0,1.0,1.1196,1.0474,1.1412,1,64,ok
api,64,65536,ours,15.008,14.269,15.823,10.4,707.4,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,64,65536,torch_npu,16.645,15.718,21.117,32.4,637.8,1.0,1.0,1.1215,1.0955,1.154,1,64,ok
api,128,65536,ours,15.179,14.481,22.78,54.7,1398.9,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,128,65536,torch_npu,16.789,16.202,17.92,10.2,1264.7,1.0,1.0,1.101,1.0854,1.1415,1,64,ok
api,256,65536,ours,15.162,14.656,16.597,12.8,2800.9,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,256,65536,torch_npu,16.315,15.5,20.426,30.2,2603.0,1.0,1.0,1.0801,1.0618,1.0989,1,64,ok
api,512,65536,ours,27.556,25.519,28.509,10.9,3082.3,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,512,65536,torch_npu,25.738,23.776,27.345,13.9,3300.0,1.0,1.0,0.9336,0.9109,0.9461,1,64,ok
api,1024,65536,ours,53.887,51.159,67.135,29.6,3152.3,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,1024,65536,torch_npu,55.486,53.788,65.475,21.1,3061.5,1.0,1.0,1.0351,1.0274,1.0462,1,64,ok
api,2048,65536,ours,118.932,105.667,140.251,29.1,2856.6,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,2048,65536,torch_npu,117.518,107.757,143.423,30.3,2891.0,1.0,1.0,0.9854,0.9772,0.9947,1,64,ok
