pair,k,batch,contender,micros,p_lo,p_hi,spread_pct,gbs,packed_match,scale_match,speedup,speedup_lo,speedup_hi,resolved,brackets_n,status
raw,4096,4096,ours_raw,13.998,11.477,15.784,30.8,3033.9,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,4096,tquant,13.979,12.433,18.721,45.0,3037.9,1.0,1.0,0.9994,0.9878,1.0092,0,64,ok
raw,4096,8192,ours_raw,26.961,25.335,27.668,8.7,3150.3,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,8192,tquant,27.047,25.898,31.416,20.4,3140.3,1.0,1.0,1.0023,1.0012,1.0058,1,64,ok
raw,4096,16384,ours_raw,52.897,50.67,59.688,17.0,3211.3,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,16384,tquant,52.914,51.981,69.964,34.0,3210.3,1.0,1.0,1.0022,1.0001,1.0102,1,64,ok
raw,4096,32768,ours_raw,111.719,106.422,121.973,13.9,3041.0,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,32768,tquant,123.406,104.495,142.619,30.9,2753.0,1.0,1.0,1.0941,1.0227,1.1334,1,64,ok
raw,4096,65536,ours_raw,225.365,207.983,244.251,16.1,3015.0,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,65536,tquant,258.67,209.747,287.033,29.9,2626.8,1.0,1.0,1.1276,1.1128,1.1498,1,64,ok
raw,4096,131072,ours_raw,472.392,408.151,489.472,17.2,2876.8,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,131072,tquant,518.085,411.42,535.83,24.0,2623.0,1.0,1.0,1.0971,1.0873,1.1059,1,64,ok
api,4096,4096,ours,15.289,14.666,16.172,9.9,2777.6,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,4096,torch_npu,14.023,13.612,21.933,59.3,3028.3,1.0,1.0,0.9226,0.8985,0.9431,1,64,ok
api,4096,8192,ours,26.805,25.655,28.387,10.2,3168.7,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,8192,torch_npu,26.953,25.527,27.864,8.7,3151.3,1.0,1.0,1.0172,1.0057,1.0252,1,64,ok
api,4096,16384,ours,53.797,51.574,66.201,27.2,3157.6,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,16384,torch_npu,55.224,52.703,63.216,19.0,3076.0,1.0,1.0,1.0006,0.9903,1.0064,0,64,ok
api,4096,32768,ours,118.956,104.451,138.622,28.7,2856.0,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,32768,torch_npu,115.208,107.275,137.501,26.2,2948.9,1.0,1.0,0.9807,0.9606,1.0035,0,64,ok
api,4096,65536,ours,237.471,208.738,265.821,24.0,2861.3,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,65536,torch_npu,240.883,209.527,278.491,28.6,2820.8,1.0,1.0,1.0159,1.0081,1.0353,1,64,ok
api,4096,131072,ours,473.051,409.964,514.135,22.0,2872.7,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,131072,torch_npu,502.97,412.128,520.755,21.6,2701.9,1.0,1.0,1.0622,1.0571,1.072,1,64,ok
