pair,k,batch,contender,micros,p_lo,p_hi,spread_pct,gbs,packed_match,scale_match,speedup,speedup_lo,speedup_hi,resolved,brackets_n,status
raw,64,65536,ours_raw,5.12,5.052,11.699,129.8,2073.7,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,64,65536,tquant,5.421,5.354,5.592,4.4,1958.6,1.0,1.0,1.0548,1.0523,1.0608,1,64,ok
raw,128,65536,ours_raw,8.746,8.475,9.669,13.6,2427.7,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,128,65536,tquant,8.703,7.862,14.223,73.1,2439.7,1.0,1.0,1.0037,1.0009,1.0075,1,64,ok
raw,256,65536,ours_raw,13.838,11.682,14.602,21.1,3068.9,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,256,65536,tquant,13.873,12.807,14.698,13.6,3061.2,1.0,1.0,1.0031,0.9995,1.0094,0,64,ok
raw,512,65536,ours_raw,26.191,25.505,26.676,4.5,3243.0,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,512,65536,tquant,26.171,25.947,28.705,10.5,3245.4,1.0,1.0,1.0003,0.9989,1.0022,0,64,ok
raw,1024,65536,ours_raw,51.967,50.531,57.193,12.8,3268.8,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,1024,65536,tquant,51.928,51.382,66.998,30.1,3271.2,1.0,1.0,1.0035,0.9996,1.0197,0,64,ok
raw,2048,65536,ours_raw,109.39,104.429,127.134,20.8,3105.8,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,2048,65536,tquant,124.469,105.933,147.986,33.8,2729.5,1.0,1.0,1.1142,1.0673,1.1629,1,64,ok
api,64,65536,ours,15.141,14.508,16.25,11.5,701.2,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,64,65536,torch_npu,12.685,12.07,17.462,42.5,837.0,1.0,1.0,0.8526,0.8124,0.8668,1,64,ok
api,128,65536,ours,15.008,14.531,22.895,55.7,1414.8,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,128,65536,torch_npu,12.707,11.956,14.144,17.2,1671.1,1.0,1.0,0.8383,0.8253,0.8605,1,64,ok
api,256,65536,ours,15.132,14.606,15.757,7.6,2806.4,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,256,65536,torch_npu,13.066,12.613,17.953,40.9,3250.3,1.0,1.0,0.855,0.8458,0.8855,1,64,ok
api,512,65536,ours,27.064,26.378,27.605,4.5,3138.3,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,512,65536,torch_npu,24.013,23.526,28.61,21.2,3537.1,1.0,1.0,0.893,0.8805,0.9014,1,64,ok
api,1024,65536,ours,53.182,50.663,61.358,20.1,3194.1,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,1024,65536,torch_npu,55.474,53.142,60.579,13.4,3062.1,1.0,1.0,1.0448,1.0218,1.0475,1,64,ok
api,2048,65536,ours,120.114,104.763,136.091,26.1,2828.5,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,2048,65536,torch_npu,117.355,107.565,127.885,17.3,2895.0,1.0,1.0,0.9778,0.9642,0.9821,1,64,ok
