pair,k,batch,contender,micros,p_lo,p_hi,spread_pct,gbs,packed_match,scale_match,speedup,speedup_lo,speedup_hi,resolved,brackets_n,status
api,256,65536,ours,15.391,14.656,17.593,19.1,2759.2,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,256,65536,torch_npu,17.449,16.381,21.394,28.7,2433.7,1.0,1.0,1.1345,1.1102,1.1691,1,64,ok
api,512,65536,ours,27.541,25.56,28.574,10.9,3083.9,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,512,65536,torch_npu,25.02,23.67,47.754,96.3,3394.7,1.0,1.0,0.9257,0.9037,0.9378,1,64,ok
api,768,65536,ours,39.591,37.729,40.548,7.1,3218.0,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,768,65536,torch_npu,44.408,42.568,46.212,8.2,2868.9,1.0,1.0,1.1057,1.0996,1.1182,1,64,ok
api,1024,65536,ours,55.401,51.264,66.509,27.5,3066.2,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,1024,65536,torch_npu,56.889,54.037,63.354,16.4,2986.0,1.0,1.0,1.0268,1.0205,1.032,1,64,ok
api,1280,65536,ours,69.139,66.561,81.465,21.6,3071.1,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,1280,65536,torch_npu,72.576,69.915,89.487,27.0,2925.7,1.0,1.0,1.0499,1.035,1.062,1,64,ok
api,1536,65536,ours,91.16,80.725,102.517,23.9,2795.1,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,1536,65536,torch_npu,86.836,80.409,97.099,19.2,2934.3,1.0,1.0,0.9781,0.9642,0.9859,1,64,ok
