pair,k,batch,contender,micros,p_lo,p_hi,spread_pct,gbs,packed_match,scale_match,speedup,speedup_lo,speedup_hi,resolved,brackets_n,status
api,256,65536,ours,15.456,14.657,17.592,19.0,2747.6,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,256,65536,torch_npu,17.647,16.205,22.222,34.1,2406.5,1.0,1.0,1.1348,1.1136,1.1764,1,64,ok
api,512,65536,ours,26.423,25.392,28.348,11.2,3214.5,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,512,65536,torch_npu,25.216,23.924,28.473,18.0,3368.3,1.0,1.0,0.9506,0.9333,0.9663,1,64,ok
api,768,65536,ours,39.235,37.806,41.877,10.4,3247.2,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,768,65536,torch_npu,43.279,42.421,48.125,13.2,2943.7,1.0,1.0,1.1049,1.0985,1.1129,1,64,ok
api,1024,65536,ours,53.169,51.494,62.64,21.0,3194.9,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,1024,65536,torch_npu,55.867,53.647,62.477,15.8,3040.6,1.0,1.0,1.0301,1.0253,1.0341,1,64,ok
api,1280,65536,ours,71.166,66.593,79.03,17.5,2983.7,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,1280,65536,torch_npu,74.578,69.448,86.902,23.4,2847.2,1.0,1.0,1.0502,1.0469,1.0561,1,64,ok
api,1536,65536,ours,88.524,80.275,105.071,28.0,2878.4,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,1536,65536,torch_npu,84.525,80.125,98.677,21.9,3014.5,1.0,1.0,0.9713,0.9586,0.9862,1,64,ok
